date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%)
2015-04-16,1.0032,0.993,-1.017,0.9782,1.164,18.994,0.9907,8.862
2015-04-17,1.0034,0.993,-1.036,0.999,1.28,28.128,1.0012,13.514
2015-04-20,1.0039,0.991,-1.285,1.0019,1.262,25.961,1.0029,12.324
2015-04-21,1.0041,0.988,-1.603,1.0207,1.162,13.843,1.0124,6.183
2015-04-22,1.0043,0.989,-1.523,1.0519,1.127,7.139,1.0281,2.908
2015-04-23,1.0045,0.986,-1.842,1.1163,1.2,7.498,1.0604,3.074
2015-04-24,1.0046,0.986,-1.851,1.0956,1.181,7.795,1.0501,3.181
2015-04-27,1.0052,0.974,-3.104,1.107,1.155,4.336,1.0561,0.795
2015-04-28,1.0053,0.974,-3.113,1.0535,1.087,3.18,1.0294,0.107
2015-04-29,1.0055,0.978,-2.735,1.1305,1.144,1.194,1.068,-0.655
2015-04-30,1.0057,0.977,-2.854,1.0773,1.126,4.521,1.0415,0.96
2015-05-04,1.0064,0.973,-3.319,1.0672,1.115,4.479,1.0368,0.694
2015-05-05,1.0066,0.972,-3.437,0.9798,1.059,8.083,0.9932,2.245
2015-05-06,1.0068,0.967,-3.953,0.945,1.04,10.053,0.9759,2.828
2015-05-07,1.0069,0.963,-4.36,0.9179,0.993,8.182,0.9624,1.621
2015-05-08,1.0071,0.968,-3.882,0.9531,1.003,5.236,0.9801,0.551
2015-05-11,1.0077,0.967,-4.039,1.0127,1.05,3.683,1.0102,-0.168
2015-05-12,1.0078,0.967,-4.048,1.0176,1.052,3.381,1.0127,-0.316
2015-05-13,1.008,0.967,-4.067,1.038,1.079,3.95,1.023,0
2015-05-14,1.0082,0.974,-3.392,1.1116,1.148,3.275,1.0599,0.104
2015-05-15,1.0084,0.985,-2.321,1.0774,1.111,3.119,1.0429,0.489
2015-05-18,1.0089,0.983,-2.567,1.0367,1.064,2.633,1.0228,0.068
2015-05-19,1.0091,0.982,-2.686,1.0805,1.105,2.267,1.0448,-0.124
2015-05-20,1.0093,0.98,-2.903,1.0817,1.096,1.322,1.0455,-0.717
2015-05-21,1.0094,0.983,-2.615,1.1074,1.104,-0.307,1.0584,-1.408
2015-05-22,1.0096,0.992,-1.743,1.1682,1.146,-1.9,1.0889,-1.828
2015-05-25,1.0102,0.988,-2.198,1.2206,1.207,-1.114,1.1154,-1.605
2015-05-26,1.0103,0.976,-3.395,1.2685,1.286,1.38,1.1394,-0.737
2015-05-27,1.0105,0.941,-6.878,1.3107,1.38,5.287,1.1606,-0.009
2015-05-28,1.0107,0.941,-6.896,1.1479,1.246,8.546,1.0793,1.316
2015-05-29,1.0109,0.935,-7.508,1.1431,1.216,6.377,1.077,-0.139
2015-06-01,1.0114,0.936,-7.455,1.2484,1.311,5.014,1.1299,-0.566
2015-06-02,1.0116,0.941,-6.979,1.2992,1.322,1.755,1.1554,-2.069
2015-06-03,1.0118,0.968,-4.329,1.296,1.29,-0.463,1.1539,-2.158
2015-06-04,1.0119,0.972,-3.943,1.3411,1.328,-0.977,1.1765,-2.252
2015-06-05,1.0121,0.972,-3.962,1.4493,1.451,0.117,1.2307,-1.56
2015-06-08,1.0126,0.949,-6.281,1.4284,1.485,3.962,1.2205,-0.287
2015-06-09,1.0128,0.949,-6.299,1.4364,1.5,4.428,1.2246,-0.008
2015-06-10,1.013,0.948,-6.417,1.4204,1.459,2.718,1.2167,-1.085
2015-06-11,1.0132,0.951,-6.139,1.4322,1.452,1.382,1.2227,-1.734
2015-06-12,1.0134,0.953,-5.96,1.4326,1.441,0.586,1.223,-2.126
2015-06-15,1.0139,0.959,-5.415,1.4017,1.413,0.806,1.2078,-1.805
2015-06-16,1.0141,0.955,-5.828,1.2903,1.33,3.077,1.1522,-0.842
2015-06-17,1.0142,0.963,-5.048,1.3468,1.358,0.832,1.1805,-1.694
2015-06-18,1.0144,0.961,-5.264,1.2694,1.314,3.513,1.1419,-0.385
