date,netvalue(A),price(A),overload(A)(%),netvalue(B),price(B),overload(B)(%),basevalue,overload(overall)(%),,,
2015/7/8,1.011,0.747,-26.113,0.471,0.798,69.427,0.741,4.251,,,< 0.79 7
2015/7/2,1.01,0.757,-25.05,0.9,1.218,35.333,0.955,3.403,,,0.79 11
2015/7/3,1.01,0.764,-24.356,0.774,1.096,41.602,0.892,4.26,,,0.8 4
2015/6/30,1.01,0.771,-23.663,1.162,1.489,28.141,1.086,4.052,,,0.81 6
2015/7/1,1.01,0.771,-23.663,1.04,1.353,30.096,1.025,3.61,,,0.82 9
2015/6/23,1.008,0.778,-22.817,1.37,1.723,25.766,1.233,1.419,,,0.83 14
2015/6/24,1.009,0.782,-22.498,1.505,1.79,18.937,1.257,2.307,,,0.84 14
2015/6/18,1.008,0.79,-21.627,1.466,1.702,16.098,1.237,0.728,,,0.85 9
2015/7/9,1.011,0.79,-21.86,0.559,0.878,57.066,0.785,6.242,,,0.86 4
2015/6/29,1.01,0.791,-21.683,1.056,1.371,29.83,1.033,4.647,,,0.87 11
2015/6/15,1.008,0.793,-21.329,1.644,1.886,14.72,1.326,1.018,,,0.88 7
2015/6/25,1.009,0.793,-21.407,1.421,1.692,19.071,1.215,2.263,,,0.89 13
2015/6/17,1.008,0.794,-21.23,1.544,1.771,14.702,1.276,0.509,,,
2015/6/19,1.008,0.794,-21.23,1.37,1.566,14.307,1.189,-0.757,,,
2015/6/1,1.005,0.795,-20.896,1.691,2.031,20.106,1.348,4.822,,,
2015/7/6,1.011,0.796,-21.266,0.679,0.986,45.214,0.845,5.444,,,
2015/6/2,1.006,0.798,-20.676,1.762,1.942,10.216,1.384,-1.012,,,
2015/6/16,1.008,0.799,-20.734,1.526,1.745,14.351,1.267,0.395,,,
2015/5/29,1.005,0.8,-20.398,1.575,2.09,32.698,1.29,12.016,,,
2015/6/12,1.007,0.8,-20.556,1.697,1.934,13.966,1.352,1.109,,,
2015/7/10,1.011,0.804,-20.475,0.651,0.958,47.158,0.831,6.017,,,
2015/6/10,1.007,0.808,-19.762,1.651,1.847,11.872,1.329,-0.113,,,
2015/6/11,1.007,0.81,-19.563,1.667,1.824,9.418,1.337,-1.496,,,
