母基代码,母基名称,跟踪指数,指数代码,上折,下折,到期日,A基代码,A基名称,本期利率,下期利率,利率规则,B基代码,B基名称,A:B,申购费,赎回费,上市交易
160127,南方消费,主动基金,399942,regular,0.2,-,150049,消费收益,5.7,5.7,3.20%,150050,消费进取,5:5,1.5%,0.5%,N
160217,国泰互利,中证全债,399481,1.6,0.4,-,150066,互利A,4,4,1.50%,150067,互利B,7:3,0.8%,0.1%,N
160218,国泰地产,国证地产,399393,2,0.25,-,150117,房地产A,6.75,6.5,4.00%,150118,房地产B,5:5,1.0%,0.5%,N
160219,国泰医药,国证医药,399394,1.5,0.25,-,150130,医药A,6.75,6.5,4.00%,150131,医药B,5:5,1.0%,0.5%,N
160221,国泰有色,国证有色,399395,1.5,0.25,-,150196,有色A,6.5,6.5,4.00%,150197,有色B,5:5,0.0%,0.7%,N
160222,国泰食品,国证食品,399396,1.5,0.25,-,150198,食品A,6.75,6.5,4.00%,150199,食品B,5:5,0.0%,0.7%,N
160224,国泰TMT,TMT50,399610,1.5,0.25,-,150215,TMT A,5.5,5.5,3.00%,150216,TMT B,5:5,0.0%,0.7%,N
160417,华安300,沪深300,399300,2,0.3,-,150104,华安300A,6.25,6,3.50%,150105,华安300B,5:5,1.2%,0.5%,N
160620,资源分级,A股资源,000805,2,0.25,-,150100,资源A,5.75,5.5,3.00%,150101,资源B,5:5,0.5%,0.5%,N
160625,证保分级,800证保,399966,1.5,0.25,-,150177,证保A,5.75,5.5,3.00%,150178,证保B,5:5,0.5%,0.5%,N
160626,信息分级,中证信息,399935,1.5,0.25,-,150179,信息A,5.75,5.5,3.00%,150180,信息B,5:5,0.5%,0.5%,N
160628,房地产,800地产,399965,1.5,0.25,-,150192,地产A,5.75,5.5,3.00%,150193,地产B,5:5,0.5%,0.5%,N
160629,传媒分级,中证传媒,399971,1.5,0.25,-,150203,传媒A,5.75,5.5,3.00%,150204,传媒B,5:5,0.5%,0.5%,N
160630,国防分级,中证国防,399973,1.5,0.25,-,150205,国防A,5.75,5.5,3.00%,150206,国防B,5:5,0.5%,0.5%,N
160718,嘉实多利,债券总指,399923,regular,0.4,-,150032,多利优先,5,5,fixed_5.0%,150033,多利进取,8:2,0.8%,0.5%,N
160806,长盛同庆,中证800,000906,on_expiration,0.25,2015/5/21,150098,同庆800A,6.5,6.5,3.50%,150099,同庆800B,4:6,1.2%,0.5%,N
160808,长盛同瑞,中证 200,399904,2,0.25,-,150064,同瑞A,6.25,6,3.50%,150065,同瑞B,4:6,1.2%,0.5%,N
160809,长盛同辉,深100EW,399632,2,0.25,2017/9/13,150108,同辉100A,7,7,fixed_7.0%,150109,同辉100B,5:5,1.2%,0.3%,N
